full_address,alarm_date,latitude,longitude
"44 JOHN ELIOT SQ Boston, MA 02119",01/01/2012,42.3299544,-71.0907206
"26 WILMORE ST Boston, MA 02126",01/01/2012,42.2778549,-71.0920885
"277 CENTRE ST Boston, MA 02130",01/01/2012,42.3233922,-71.1012045
"30 PENNIMAN RD Boston, MA 02134",01/01/2012,42.3553534,-71.1363675
"40 PHILBRICK ST Boston, MA 02131",01/01/2012,42.285431,-71.1176833
"1864 COLUMBUS AV Boston, MA 02119",01/01/2012,42.3186803,-71.0984964
"69 GAINSBOROUGH ST Boston, MA 02115",01/01/2012,42.3423702,-71.0875767
"65 MARTHA RD Boston, MA 02115",01/01/2012,42.3656356,-71.0656424
"130 DARTMOUTH ST Boston, MA 02116",01/01/2012,42.346972,-71.076018
"25 ARMSTRONG ST Boston, MA 02130",01/01/2012,42.321353,-71.104157
"2ND ST Boston, MA 02127",01/01/2012,36.7010463,-78.9003424
"30 PENNIMAN RD Boston, MA 02134",01/01/2012,42.3553534,-71.1363675
"65 MARTHA RD Boston, MA 02114",01/01/2012,42.3656356,-71.0656424
"BLUE HILL AV Boston, MA 02126",01/01/2012,42.2717099,-71.0954078
"90 WARD ST Boston, MA 02120",01/01/2012,42.3351176,-71.0963393
"51 STUART ST Boston, MA 02116",01/01/2012,42.3512385,-71.0641941
"35 POND ST Boston, MA 02130",01/01/2012,42.3153614,-71.1155982
"17 EDINBORO ST Boston, MA 02111",01/01/2012,42.3519175,-71.0598977
"35 POND ST Boston, MA 02136",01/01/2012,42.248762,-71.1172768
"HUNTINGTON AV Boston, MA 02115",01/01/2012,42.3406376,-71.0884214
"1861 COLUMBUS AV Boston, MA 02119",01/01/2012,42.3187723,-71.0985009
"210 LONGWOOD AV Boston, MA 02115",01/01/2012,42.3371087,-71.1031703
"COTTAGE ST Boston, MA 02128",01/01/2012,42.3694948,-71.0333389
"41 BREMEN ST Boston, MA 02128",01/01/2012,42.3695144,-71.0379862
"BOYLSTON ST Boston, MA 02116",01/01/2012,42.3499207,-71.0779805
"52 BOSTON ST Boston, MA 02127",01/01/2012,42.3294016,-71.0572011
"16 GLENROSE RD Boston, MA 02124",01/01/2012,42.291614,-71.058082
"101 PRINCE ST Boston, MA 02113",01/01/2012,42.3659625,-71.0564039
"280 CONGRESS ST Boston, MA 02110",01/01/2012,42.3532734,-71.0524601
"210 LONGWOOD AV Boston, MA 02115",01/01/2012,42.3371087,-71.1031703
"BURBANK ST Boston, MA 02115",01/01/2012,42.3444216,-71.0884679
"5 BLOSSOM ST Boston, MA 02115",01/01/2012,42.3613776,-71.0670342
"25 HORAN WY Boston, MA 02130",01/01/2012,42.3256527,-71.102914
"78 WOODROW AV Boston, MA 02124",01/01/2012,42.2875283,-71.0815491
"DUDLEY ST Boston, MA 02119",01/01/2012,42.3286744,-71.0839835
"578 BLUE HILL AV Boston, MA 02121",01/01/2012,42.3044686,-71.0844481
"CLARKSON ST Boston, MA 02125",01/01/2012,42.3086027,-71.0670408
"DUDLEY NR 253 ST Boston, MA 02119",01/01/2012,,
"DUDLEY ST Boston, MA 02119",01/01/2012,42.3286744,-71.0839835
"BOYLSTON ST Boston, MA 02118",01/01/2012,42.3515687,-71.0718782
"92 MAPLE ST Boston, MA 02121",01/01/2012,42.307755,-71.0862759
"I93 Boston, MA 02124",01/01/2012,42.3554334,-71.060511
"20 MUNROE TR Boston, MA 02122",01/01/2012,,
"28 HOLMAN ST Boston, MA 02134",01/01/2012,42.3588489,-71.1301561
"LAGRANGE ST Boston, MA 02132",01/01/2012,42.2882347,-71.1660227
"645 BEACON ST Boston, MA 02215",01/01/2012,42.348383,-71.0977551
"75 NORWELL ST Boston, MA 02121",01/01/2012,42.2999633,-71.0789627
"33 BROAD ST Boston, MA 02110",01/01/2012,42.3584376,-71.0544619
"706 HYDE PARK AV Boston, MA 02136",01/01/2012,42.2761757,-71.1193138
"1750 SOLDIERS FIELD RD Boston, MA 02135",01/01/2012,42.3586977,-71.1548107
"1399 COMMONWEALTH AV Boston, MA 02115",01/01/2012,42.3491061,-71.1381451
"3232 WASHINGTON ST Boston, MA 02130",01/01/2012,42.3119287,-71.1018906
"56 HAVRE ST Boston, MA 02128",01/01/2012,42.3710899,-71.040325
"5 OAK PL Boston, MA 02136",01/01/2012,42.2537741,-71.1281989
"30 BICKFORD ST Boston, MA 02118",01/01/2012,42.323319,-71.1022019
"252 NEPONSET VALLEY PY Boston, MA 02136",01/01/2012,,
"48 DEWITT DR Boston, MA 02119",01/01/2012,42.3339301,-71.0835045
"147 CENTRE ST Boston, MA 02124",01/01/2012,42.2917536,-71.0660317
"111 FRANCIS ST Boston, MA 02115",01/01/2012,42.3370743,-71.1096022
"40 PETERBOROUGH ST Boston, MA 02215",01/01/2012,42.3436116,-71.096564
"106 PRINCETON ST Boston, MA 02128",01/01/2012,42.3777365,-71.0358115
"23 ST CASIMIR ST Boston, MA 02127",01/01/2012,42.339191,-71.053618
"186 BOYLSTON ST Boston, MA 02130",01/01/2012,42.3148186,-71.1016629
"BIGELOW ST Boston, MA 02135",01/01/2012,42.3557909,-71.1647485
"121 MARLBOROUGH ST Boston, MA 02116",01/01/2012,42.353365,-71.0776879
"5 LINDA LA Boston, MA 02125",01/01/2012,42.3121544,-71.0512419
"1200 COMMONWEALTH AV Boston, MA 02134",01/01/2012,42.3501507,-71.129831
"ADAMS ST Boston, MA 02122",01/01/2012,42.2882191,-71.0553272
"64 CROSS ST Boston, MA 02109",01/01/2012,42.3612268,-71.0534987
"50 UTICA ST Boston, MA 02111",01/01/2012,42.350318,-71.0582212
"13 CHARTER ST Boston, MA 02113",01/01/2012,42.3663048,-71.0532535
"101 BROOK AV Boston, MA 02125",01/01/2012,42.3201962,-71.0732851
"56 GARFIELD AV Boston, MA 02136",01/01/2012,42.2469215,-71.1211428
