full_address,alarm_date,latitude,longitude
"65 MARTHA RD Boston, MA 02115",2012-01-01,42.36565969999999,-71.0657015
"65 MARTHA RD Boston, MA 02114",2012-01-01,42.36565969999999,-71.0657015
"35 POND ST Boston, MA 02136",2012-01-01,42.248828,-71.1173202
"BOYLSTON ST Boston, MA 02116",2012-01-01,42.3479069,-71.085472
"DUDLEY ST Boston, MA 02119",2012-01-01,42.3245693,-71.0745674
"706 HYDE PARK AV Boston, MA 02136",2012-01-01,42.2761845,-71.11933479999999
"5 OAK PL Boston, MA 02136",2012-01-01,42.2537832,-71.1282236
"1200 COMMONWEALTH AV Boston, MA 02134",2012-01-01,42.3501407,-71.12982629999999
"64 CROSS ST Boston, MA 02109",2012-01-01,42.3630449,-71.05604459999999
"20 BISHOP JOE L SMITH WY Boston, MA 02121",2012-01-01,42.30661,-71.08095
"121 MCCLELLAN HY Boston, MA 02128",2012-01-01,42.3845324,-71.0200119
"101 PRINCE ST Boston, MA 02113",2012-01-01,42.3659064,-71.0563928
"21 FROST AV Boston, MA 02122",2012-01-01,42.2905965,-71.0505428
"2 BROOKLINE ST Boston, MA 02118",2012-01-01,42.3397104,-71.0726086
"1197 BOYLSTON ST Boston, MA 02115",2012-01-01,42.3460864,-71.0944619
"19 REYNOLDS WY Boston, MA 02118",2012-01-01,42.3402587,-71.070178
"1580 VFW PY Boston, MA 02132",2012-01-01,42.2673037,-71.1673172
"1460 DORCHESTER AV Boston, MA 02122",2012-01-01,42.3007044,-71.05985
"30 TERMINAL ST Boston, MA 02129",2012-01-01,42.3818054,-71.06100649999999
"23 VAN WINKLE ST Boston, MA 02124",2012-02-01,42.2822252,-71.06396699999999
"54 PRINCETON ST Boston, MA 02128",2012-02-01,42.377271,-71.0372543
"34 ST ALPHONSUS ST Boston, MA 02120",2012-02-01,42.3354187,-71.0994338
"69 PLEASANT HILL AV Boston, MA 02126",2012-02-01,42.2758943,-71.0722427
"99 SHANDON RD Boston, MA 02124",2012-02-01,42.2964445,-71.0915959
"12 MARSHALL ST Boston, MA 02108",2012-02-01,42.3614798,-71.0568902
"334 MASSACHUSETTS AV Boston, MA 02115",2012-02-01,42.342516,-71.0840861
"62 BOYLSTON ST Boston, MA 02116",2012-02-01,42.3522732,-71.0643666
"87 ALEXANDER ST Boston, MA 02125",2012-02-01,42.3156517,-71.07053789999999
"22 MARLBOROUGH ST Boston, MA 02116",2012-02-01,42.35413399999999,-71.073391
"87 LAWRENCE AV Boston, MA 02121",2012-02-01,42.3111362,-71.0757876
"430 COLUMBUS AV Boston, MA 02116",2012-02-01,42.3439774,-71.0772258
"274 BRANDYWYNE DR Boston, MA 02128",2012-02-01,42.3872651,-71.0114481
"50 ARCHDALE RD Boston, MA 02131",2012-02-01,42.2925942,-71.12062809999999
"4 CLARENDON ST Boston, MA 02116",2012-02-01,42.3445008,-71.0723881
"16 BATTERY ST Boston, MA 02109",2012-02-01,42.366499,-71.05226069999999
"55 ELM HILL AV Boston, MA 02121",2012-02-01,42.3112554,-71.0865632
"316 HUNTINGTON AV Boston, MA 02115",2012-02-01,42.3392591,-71.08678130000001
"62 EAGLE ST Boston, MA 02128",2012-03-01,42.3814979,-71.037228
"25 HARRISON AV Boston, MA 02111",2012-03-01,42.3519886,-71.06148050000002
"170 PARKER HILL AV Boston, MA 02120",2012-03-01,42.3295719,-71.1040886
"40 WESTWIND RD Boston, MA 02125",2012-03-01,42.3184608,-71.0423945
"330 BROOKLINE AV Boston, MA 02128",2012-03-01,42.3398176,-71.10446519999999
"42 BROOKVIEW ST Boston, MA 02124",2012-03-01,42.2887739,-71.0920409
"1415 COMMONWEALTH AV Boston, MA 02115",2012-03-01,42.34930629999999,-71.1390794
"BARRY ST Boston, MA 02125",2012-03-01,42.3084433,-71.0688041
"61 ROCKWOOD ST Boston, MA 02130",2012-03-01,42.3136233,-71.1281869
"4 CYPRESS RD Boston, MA 02135",2012-03-01,42.3546374,-71.1496461
"6 SOUTHBOURNE RD Boston, MA 02130",2012-03-01,42.2905106,-71.117699
"1 HOWLAND ST Boston, MA 02121",2012-03-01,42.3114142,-71.08331129999999
"20 CHARLES ST Boston, MA 02114",2012-03-01,42.3566518,-71.0699553
"38 WHITE ST Boston, MA 02128",2012-03-01,42.3806584,-71.0382716
"245 KELTON ST Boston, MA 02134",2012-03-01,42.3462298,-71.1361908
"133 COLUMBIA RD Boston, MA 02121",2012-03-01,42.3053474,-71.0795211
"35 QUEENSBERRY ST Boston, MA 02215",2012-03-01,42.3432427,-71.0966206
"111 PARK DR Boston, MA 02215",2012-03-01,42.3421482,-71.0970617
"25 KINGSTON ST Boston, MA 02111",2012-03-01,42.3537274,-71.0592945
"16 WYVERN ST Boston, MA 02131",2012-04-01,42.2885836,-71.1171126
"500 COLUMBIA RD Boston, MA 02125",2012-04-01,42.3147533,-71.06765140000002
"11 NEWTON ST Boston, MA 02118",2012-04-01,42.3383598,-71.0732226
"45 NEWTON ST Boston, MA 02125",2012-04-01,42.356991,-71.1642092
"87 LAWRENCE AV Boston, MA 02121",2012-04-01,42.3111362,-71.0757876
"1870 COLUMBUS AV Boston, MA 02119",2012-04-01,42.3184249,-71.0977281
"282 TALBOT AV Boston, MA 02124",2012-04-01,42.291161,-71.0747533
"19 MUNROE TR Boston, MA 02122",2012-04-01,42.2928756,-71.05235859999999
"96 WESTWIND RD Boston, MA 02122",2012-04-01,42.3209877,-71.04321620000002
"199 MASSACHUSETTS AV Boston, MA 02115",2012-04-01,42.3451746,-71.0870626
"58 OBRIEN CT Boston, MA 02129",2012-04-01,42.3787431,-71.0548762
"696 COLUMBUS AV Boston, MA 02120",2012-04-01,42.3383029,-71.08426399999999
"75 ST ALPHONSUS ST Boston, MA 02120",2012-04-01,42.334258,-71.10074
"HANCOCK ST Boston, MA 02125",2012-04-01,42.3117829,-71.0632603
"1285 MASSACHUSETTS AV Boston, MA 02125",2012-04-01,42.3211233,-71.0622649
"312 MARLBOROUGH ST Boston, MA 02116",2012-04-01,42.3511038,-71.0844156
"1 SHANDON RD Boston, MA 02124",2012-04-01,42.29475009999999,-71.0889143
"140 AMERICAN LEGION HY Boston, MA 02131",2012-04-01,42.2952867,-71.09128419999999
"21 OCEAN VIEW DR Boston, MA 02125",2012-04-01,42.31933220000001,-71.0392373
"55 LINDEN ST Boston, MA 02134",2012-04-01,42.3536839,-71.1304404
"BRIGHTON AV Boston, MA 02134",2012-05-01,42.3523765,-71.1273509
"185 WALWORTH ST Boston, MA 02131",2012-05-01,42.2793082,-71.1373086
"37 BOWDOIN ST Boston, MA 02114",2012-05-01,42.359907,-71.0631197
"4 MEYER CT Boston, MA 02131",2012-05-01,42.2873373,-71.1141268
"327 HUNTINGTON AV Boston, MA 02115",2012-05-01,42.3409475,-71.08819849999999
"1340 SOLDIERS FIELD RD Boston, MA 02135",2012-05-01,42.3628894,-71.1416018
"440 TREMONT ST Boston, MA 02116",2012-05-01,42.3465375,-71.0687824
"10 WALES ST Boston, MA 02124",2012-05-01,42.2983676,-71.0857778
"20 WASHINGTON ST Boston, MA 02135",2012-05-01,42.3422048,-71.1414934
"6 CAROL AV Boston, MA 02146",2012-05-01,42.344783,-71.1409457
"29 JETTE CT Boston, MA 02128",2012-05-01,42.3472204,-71.1441497
"572 MASSACHUSETTS AV Boston, MA 02118",2012-05-01,42.337804,-71.07817849999999
"1 DEVONSHIRE PL Boston, MA 02108",2012-05-01,42.358414,-71.0574943
"2262 DORCHESTER AV Boston, MA 02130",2012-05-01,42.2729514,-71.0671508
"91 WILLIAMS AV Boston, MA 02136",2012-05-01,42.2478586,-71.11661060000002
"151 COMMONWEALTH AV Boston, MA 02116",2012-05-01,42.3523589,-71.0782366
"1 MCKINLEY SQ Boston, MA 02130",2012-05-01,42.3590101,-71.0529715
"85 SCHOOL ST Boston, MA 02129",2012-05-01,42.3788869,-71.06324169999999
"476 COMMONWEALTH AV Boston, MA 02215",2012-05-01,42.3485454,-71.0938584
"9 BLANVON RD Boston, MA 02130",2012-05-01,42.2913464,-71.1187916
"111 WESTERN AV Boston, MA 02134",2012-05-01,42.3645949,-71.11995759999999
"90 CUSHING AV Boston, MA 02125",2012-05-01,42.3139803,-71.06356699999999
"77 SALEM ST Boston, MA 02113",2012-05-01,42.3635169,-71.05576599999999
"19 PATTERSON WY Boston, MA 02127",2012-05-01,42.3308199,-71.0517248
"120 WINTHROP ST Boston, MA 02119",2012-06-01,42.3238829,-71.07641199999999
"300 BOYLSTON ST Boston, MA 02119",2012-06-01,42.3299829,-71.124544
"82 HOLWORTHY ST Boston, MA 02121",2012-06-01,42.3168344,-71.09134209999999
"972 BLUE HILL AV Boston, MA 02124",2012-06-01,42.2907959,-71.0889375
"647 SUMMER ST Boston, MA 02210",2012-06-01,42.3413107,-71.0442053
"474 TREMONT ST Boston, MA 02118",2012-06-01,42.3456886,-71.0692005
"7 ESMOND ST Boston, MA 02121",2012-06-01,42.2990234,-71.0859763
"19 MYRTLE ST Boston, MA 02116",2012-06-01,42.3593986,-71.0652063
"84 GORDON ST Boston, MA 02134",2012-06-01,42.3498511,-71.139792
